order_no,id,orderTime,recipeOrdered
0,1000,02:23:13,26
1,999,02:31:42,25
2,998,01:23:16,24
3,997,02:13:58,23
4,996,00:56:40,22
5,995,11:14:16,21
6,994,10:12:16,20
7,993,14:53:12,19
8,992,05:12:50,18
9,991,05:11:56,17
10,990,11:21:10,16
11,989,01:53:01,15
12,988,08:03:41,14
13,987,14:56:50,13
14,986,18:25:18,12
15,985,16:26:49,11
16,984,14:35:35,10
17,983,10:11:00,9
18,982,06:15:18,8
19,981,17:02:40,7
20,980,06:12:54,6
21,979,02:11:26,5
22,978,15:35:20,4
23,977,21:53:20,3
24,976,15:21:31,2
25,975,14:19:59,1
26,974,12:09:19,0
27,973,08:04:07,26
28,972,09:49:33,25
29,971,21:24:10,24
30,970,07:06:56,23
31,969,01:48:54,22
32,968,05:31:54,21
33,967,16:06:37,20
34,966,06:36:29,19
35,965,17:41:56,18
36,964,13:15:03,17
37,963,02:30:06,16
38,962,08:31:31,15
39,961,04:54:29,14
40,960,16:25:22,13
41,959,19:44:33,12
42,958,16:42:59,11
43,957,10:51:07,10
44,956,14:27:34,9
45,955,07:05:45,8
46,954,15:38:15,7
47,953,23:04:59,6
48,952,22:14:24,5
49,951,15:22:49,4
50,950,07:36:20,3
51,949,19:33:21,2
52,948,21:17:17,1
53,947,02:36:40,0
54,946,10:43:51,26
55,945,10:17:04,25
56,944,00:20:53,24
57,943,19:52:26,23
58,942,16:30:44,22
59,941,20:41:41,21
60,940,23:15:54,20
61,939,07:56:52,19
62,938,04:16:49,18
63,937,02:13:01,17
64,936,19:26:04,16
65,935,14:19:11,15
66,934,22:08:26,14
67,933,00:30:17,13
68,932,19:20:05,12
69,931,03:57:32,11
70,930,08:22:43,10
71,929,19:44:14,9
72,928,00:48:39,8
73,927,06:55:53,7
74,926,06:24:51,6
75,925,08:24:40,5
76,924,09:51:18,4
77,923,22:24:47,3
78,922,12:25:21,2
79,921,00:16:54,1
80,920,00:41:57,0
81,919,18:05:40,26
82,918,01:12:48,25
83,917,10:26:57,24
84,916,12:12:15,23
85,915,17:38:02,22
86,914,13:27:58,21
87,913,23:08:21,20
88,912,17:35:01,19
89,911,13:45:01,18
90,910,03:34:13,17
91,909,15:41:50,16
92,908,08:37:41,15
93,907,14:20:06,14
94,906,10:56:42,13
95,905,22:30:29,12
96,904,19:13:39,11
97,903,20:21:41,10
98,902,22:30:11,9
99,901,11:51:24,8
100,900,06:42:37,7
101,899,06:14:37,6
102,898,11:33:28,5
103,897,01:00:46,4
104,896,13:46:44,3
105,895,11:08:56,2
106,894,20:38:24,1
107,893,19:07:21,0
108,892,20:59:39,26
109,891,02:36:32,25
110,890,15:21:32,24
111,889,09:19:37,23
112,888,09:19:51,22
113,887,23:40:08,21
114,886,17:13:22,20
115,885,08:22:46,19
116,884,06:31:22,18
117,883,22:34:25,17
118,882,04:23:25,16
119,881,03:28:44,15
120,880,07:56:18,14
121,879,01:26:55,13
122,878,18:55:27,12
123,877,07:12:03,11
124,876,22:59:24,10
125,875,05:51:01,9
126,874,19:53:02,8
127,873,19:54:12,7
128,872,08:51:40,6
129,871,20:58:19,5
130,870,04:49:29,4
131,869,04:10:56,3
132,868,09:03:04,2
133,867,12:20:09,1
134,866,00:10:45,0
135,865,19:02:21,26
136,864,15:59:36,25
137,863,10:35:15,24
138,862,03:59:49,23
139,861,23:10:43,22
140,860,04:46:17,21
141,859,10:05:41,20
142,858,23:48:52,19
143,857,18:15:14,18
144,856,09:25:06,17
145,855,18:14:05,16
146,854,03:55:53,15
147,853,08:54:37,14
148,852,07:37:16,13
149,851,08:25:40,12
150,850,00:47:25,11
151,849,11:28:23,10
152,848,00:41:30,9
153,847,08:12:40,8
154,846,18:39:52,7
155,845,06:16:49,6
156,844,19:26:02,5
157,843,06:59:28,4
158,842,23:06:37,3
159,841,01:20:45,2
160,840,08:30:39,1
161,839,14:58:03,0
162,838,07:58:21,26
163,837,04:52:15,25
164,836,07:45:36,24
165,835,06:57:36,23
166,834,15:36:05,22
167,833,20:55:12,21
168,832,19:11:15,20
169,831,17:31:33,19
170,830,10:19:41,18
171,829,13:51:05,17
172,828,03:27:17,16
173,827,09:54:31,15
174,826,06:58:18,14
175,825,20:59:28,13
176,824,11:22:21,12
177,823,06:52:24,11
178,822,18:57:41,10
179,821,20:07:47,9
180,820,12:53:32,8
181,819,03:06:28,7
182,818,22:42:11,6
183,817,01:47:59,5
184,816,09:20:03,4
185,815,02:20:26,3
186,814,07:14:13,2
187,813,20:53:15,1
188,812,21:18:12,0
189,811,06:00:04,26
190,810,00:52:43,25
191,809,08:56:18,24
192,808,16:55:50,23
193,807,15:26:30,22
194,806,14:51:15,21
195,805,17:24:20,20
196,804,05:33:15,19
197,803,16:10:47,18
198,802,10:58:40,17
199,801,16:46:37,16
200,800,21:01:05,15
201,799,10:10:33,14
202,798,07:06:18,13
203,797,02:22:33,12
204,796,15:42:29,11
205,795,10:32:16,10
206,794,01:23:13,9
207,793,14:59:55,8
208,792,04:18:52,7
209,791,09:52:34,6
210,790,21:51:02,5
211,789,16:03:11,4
212,788,17:01:24,3
213,787,13:23:35,2
214,786,05:11:07,1
215,785,19:10:02,0
216,784,01:11:07,26
217,783,23:30:12,25
218,782,00:24:20,24
219,781,12:04:43,23
220,780,12:43:19,22
221,779,13:11:26,21
222,778,11:04:27,20
223,777,15:14:14,19
224,776,10:46:54,18
225,775,03:14:31,17
226,774,10:49:17,16
227,773,12:51:19,15
228,772,20:53:11,14
229,771,18:31:40,13
230,770,04:05:53,12
231,769,21:38:26,11
232,768,16:39:47,10
233,767,21:09:03,9
234,766,19:50:39,8
235,765,14:07:44,7
236,764,09:58:52,6
237,763,03:53:25,5
238,762,22:17:36,4
239,761,22:33:35,3
240,760,05:13:32,2
241,759,01:27:55,1
242,758,12:00:05,0
243,757,21:53:51,26
244,756,13:59:22,25
245,755,18:45:36,24
246,754,05:15:15,23
247,753,19:09:15,22
248,752,13:55:56,21
249,751,04:03:01,20
250,750,21:05:00,19
251,749,13:51:06,18
252,748,05:03:14,17
253,747,03:38:29,16
254,746,14:55:22,15
255,745,08:11:29,14
256,744,08:54:12,13
257,743,01:14:53,12
258,742,04:41:03,11
259,741,21:55:42,10
260,740,00:59:03,9
261,739,11:21:41,8
262,738,10:46:04,7
263,737,10:26:42,6
264,736,14:18:10,5
265,735,21:30:57,4
266,734,05:55:26,3
267,733,08:56:14,2
268,732,00:12:23,1
269,731,02:19:22,0
270,730,00:25:49,26
271,729,02:29:59,25
272,728,18:32:40,24
273,727,10:47:33,23
274,726,13:50:22,22
275,725,05:59:33,21
276,724,20:40:51,20
277,723,20:59:53,19
278,722,09:07:56,18
279,721,04:42:33,17
280,720,21:03:07,16
281,719,07:36:34,15
282,718,13:30:57,14
283,717,16:22:30,13
284,716,19:19:20,12
285,715,20:35:57,11
286,714,08:44:40,10
287,713,09:14:23,9
288,712,20:31:24,8
289,711,17:12:43,7
290,710,00:38:48,6
291,709,12:56:58,5
292,708,17:40:06,4
293,707,13:17:15,3
294,706,17:23:59,2
295,705,06:24:33,1
296,704,06:05:59,0
297,703,14:07:52,26
298,702,04:25:54,25
299,701,16:43:24,24
300,700,16:47:17,23
301,699,22:05:29,22
302,698,17:31:10,21
303,697,05:51:30,20
304,696,07:43:44,19
305,695,05:49:09,18
306,694,14:14:06,17
307,693,00:59:18,16
308,692,09:03:15,15
309,691,18:41:28,14
310,690,05:03:51,13
311,689,18:58:14,12
312,688,21:16:51,11
313,687,17:05:04,10
314,686,09:19:45,9
315,685,22:06:18,8
316,684,16:10:04,7
317,683,07:29:51,6
318,682,13:19:35,5
319,681,22:32:14,4
320,680,23:26:26,3
321,679,04:08:27,2
322,678,01:43:30,1
323,677,11:59:36,0
324,676,00:14:45,26
325,675,00:18:11,25
326,674,07:06:44,24
327,673,14:20:02,23
328,672,15:24:19,22
329,671,15:00:52,21
330,670,19:08:45,20
331,669,03:07:25,19
332,668,09:15:21,18
333,667,09:13:52,17
334,666,14:00:34,16
335,665,13:56:41,15
